,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
0,Jai Bhim,(2021),164 min,9.4,****,"154,891",%^%^%^,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice."
1,The Shawshank Redemption,(1994),142 min,9.3,80        ,"2,502,929",$28.34M,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
2,The Godfather,(1972),175 min,9.2,100        ,"1,725,397",$134.97M,"The Godfather follows Vito Corleone, Don of the Corleone family, as he passes the mantel to his unwilling son, Michael."
3,Soorarai Pottru,(2020),153 min,9.1,****,"104,259",%^%^%^,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way."
4,The Dark Knight,(2008),152 min,9.0,84        ,"2,452,591",$534.86M,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
5,The Godfather: Part II,(1974),202 min,9.0,90        ,"1,197,276",$57.30M,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
6,12 Angry Men,(1957),96 min,9.0,96        ,"739,250",$4.36M,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
7,The Lord of the Rings: The Return of the King,(2003),201 min,8.9,94        ,"1,729,159",$377.85M,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
8,Pulp Fiction,(1994),154 min,8.9,94        ,"1,931,434",$107.93M,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
9,Schindler's List,(1993),195 min,8.9,94        ,"1,280,756",$96.90M,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
10,Inception,(2010),148 min,8.8,74        ,"2,200,782",$292.58M,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
11,Dara iz Jasenovca,(2020),130 min,8.8,****,"79,940",%^%^%^,Follows the story of a young girl named Dara who is sent to a concentration camp in Croatia during World War 2.
12,Sardar Udham,(2021),164 min,8.8,****,"31,503",%^%^%^,A biopic detailing the 2 decades that Punjabi Sikh revolutionary Udham Singh spent planning the assassination of the man responsible for the Jallianwala Bagh massacre.
